Location,Data Centers,Megawatts,p_ak_com,p_low,p_high,p_avg,p_2_low,p_2_high
Northern Virginia,275,2600,0.21,0.06,0.07,0.07,,
Dallas,150,650,0.21,0.04,0.06,0.05,,
Silicon Valley & Santa Clara,160,625,0.21,0.12,0.15,0.14,0.1,0.1
Phoenix,90,600,0.21,0.06,0.07,0.06,,
Chicago,105,550,0.21,0.06,0.07,0.07,,
Atlanta,75,375,0.21,0.04,0.05,0.04,,
Portland,40,355,0.21,0.05,0.07,0.06,,
New York & New Jersey,140,295,0.21,0.09,0.1,0.09,,
Seattle & Quincy,75,290,0.21,0.07,0.04,0.05,0.03,0.04
Los Angeles,65,210,0.21,0.1,0.14,0.12,,
